old_url,historical_clicks,historical_impressions,current_status,current_destination,action,final_url,canonical,sitemap,reason,content_source
https://newyorksstorage.com/,737,509266,200_via_www_redirect,https://www.newyorksstorage.com/,KEEP,https://www.newyorksstorage.com/,https://www.newyorksstorage.com/,yes,Homepage retained; historical non-www → www,existing_redesign
https://newyorksstorage.com/storage-types/climate-controlled-storage-nyc/,0,48869,200_on_www_noslash,https://www.newyorksstorage.com/storage-types/climate-controlled-storage-nyc,KEEP,https://www.newyorksstorage.com/storage-types/climate-controlled-storage-nyc,https://www.newyorksstorage.com/storage-types/climate-controlled-storage-nyc,yes,Historical slug preserved; slash/host normalized via 308,existing_redesign
https://newyorksstorage.com/storage-unit-size-guide/,0,35051,200_on_www_noslash,https://www.newyorksstorage.com/storage-unit-size-guide,KEEP,https://www.newyorksstorage.com/storage-unit-size-guide,https://www.newyorksstorage.com/storage-unit-size-guide,yes,Historical slug preserved; slash/host normalized via 308,existing_redesign
https://newyorksstorage.com/contact-us/,30,21336,200_on_www_noslash,https://www.newyorksstorage.com/contact-us,KEEP,https://www.newyorksstorage.com/contact-us,https://www.newyorksstorage.com/contact-us,yes,Historical slug preserved; slash/host normalized via 308,existing_redesign
https://newyorksstorage.com/storage-types/student-storage-nyc/,0,18729,200_on_www_noslash,https://www.newyorksstorage.com/storage-types/student-storage-nyc,KEEP,https://www.newyorksstorage.com/storage-types/student-storage-nyc,https://www.newyorksstorage.com/storage-types/student-storage-nyc,yes,Historical slug preserved; no PHP warning reproduced,existing_redesign
https://newyorksstorage.com/about-us/,0,17697,200_on_www_noslash,https://www.newyorksstorage.com/about-us,KEEP,https://www.newyorksstorage.com/about-us,https://www.newyorksstorage.com/about-us,yes,Historical slug preserved; slash/host normalized via 308,existing_redesign
https://newyorksstorage.com/storage-types/,0,17277,200_on_www_noslash,https://www.newyorksstorage.com/storage-types,KEEP,https://www.newyorksstorage.com/storage-types,https://www.newyorksstorage.com/storage-types,yes,Hub retained with ItemList schema,existing_redesign
https://newyorksstorage.com/storage-types/business-storage-nyc/,0,14453,200_on_www_noslash,https://www.newyorksstorage.com/storage-types/business-storage-nyc,KEEP,https://www.newyorksstorage.com/storage-types/business-storage-nyc,https://www.newyorksstorage.com/storage-types/business-storage-nyc,yes,Slug kept; outdated 24/7 access claim not restored,existing_redesign_verified_hours
https://newyorksstorage.com/storage-types/apartment-storage-nyc/,0,3923,200_on_www_noslash,https://www.newyorksstorage.com/storage-types/apartment-storage-nyc,KEEP,https://www.newyorksstorage.com/storage-types/apartment-storage-nyc,https://www.newyorksstorage.com/storage-types/apartment-storage-nyc,yes,Historical slug preserved,existing_redesign
https://newyorksstorage.com/storage-types/self-storage-nyc/,0,3224,200_on_www_noslash,https://www.newyorksstorage.com/storage-types/self-storage-nyc,KEEP,https://www.newyorksstorage.com/storage-types/self-storage-nyc,https://www.newyorksstorage.com/storage-types/self-storage-nyc,yes,Historical slug preserved,existing_redesign
https://newyorksstorage.com/storage-types/moving-storage-nyc/,0,2528,200_on_www_noslash,https://www.newyorksstorage.com/storage-types/moving-storage-nyc,KEEP,https://www.newyorksstorage.com/storage-types/moving-storage-nyc,https://www.newyorksstorage.com/storage-types/moving-storage-nyc,yes,Historical slug preserved,existing_redesign
https://newyorksstorage.com/storage-types/antique-storage-nyc/,0,862,200_on_www_noslash,https://www.newyorksstorage.com/storage-types/antique-storage-nyc,KEEP,https://www.newyorksstorage.com/storage-types/antique-storage-nyc,https://www.newyorksstorage.com/storage-types/antique-storage-nyc,yes,Historical slug preserved; now in footer links,existing_redesign
https://newyorksstorage.com/storage-types/art-film-storage-nyc/,0,690,200_on_www_noslash,https://www.newyorksstorage.com/storage-types/art-film-storage-nyc,KEEP,https://www.newyorksstorage.com/storage-types/art-film-storage-nyc,https://www.newyorksstorage.com/storage-types/art-film-storage-nyc,yes,Slug kept; placeholder/lorem not restored,existing_redesign
https://newyorksstorage.com/packing-moving-supplies/,0,621,200_on_www_noslash,https://www.newyorksstorage.com/packing-moving-supplies,KEEP,https://www.newyorksstorage.com/packing-moving-supplies,https://www.newyorksstorage.com/packing-moving-supplies,yes,Historical slug preserved,existing_redesign
https://newyorksstorage.com/storage-types/pharmaceutical-storage-nyc/,0,615,200_on_www_noslash,https://www.newyorksstorage.com/storage-types/pharmaceutical-storage-nyc,KEEP,https://www.newyorksstorage.com/storage-types/pharmaceutical-storage-nyc,https://www.newyorksstorage.com/storage-types/pharmaceutical-storage-nyc,yes,Historical slug preserved; no unverified compliance claims,existing_redesign
https://newyorksstorage.com/get-a-quote/,0,433,200_on_www_noslash,https://www.newyorksstorage.com/get-a-quote,KEEP,https://www.newyorksstorage.com/get-a-quote,https://www.newyorksstorage.com/get-a-quote,yes,Quote page retained; Web3Forms untouched,existing_redesign
https://newyorksstorage.com/storage-101/,0,0,200_on_www_noslash,https://www.newyorksstorage.com/storage-101,KEEP,https://www.newyorksstorage.com/storage-101,https://www.newyorksstorage.com/storage-101,yes,Historical URL retained; rebuilt resource hub without PHP warning,existing_redesign
